archive_id,old_url,new_url,slug,title,created_at
"3","https://blog.hadream.ltd/index.php/archives/3/","https://lanzhijiang.dev/article/notes-2021-03-06","notes-2021-03-06","「吐槽」2021.3.6","2021-03-06T14:29:00Z"
"10","https://blog.hadream.ltd/index.php/archives/10/","https://lanzhijiang.dev/article/centos-build-nginx-from-source","centos-build-nginx-from-source","「教程」在Centos上用源码安装Nginx","2021-03-07T05:57:00Z"
"12","https://blog.hadream.ltd/index.php/archives/12/","https://lanzhijiang.dev/article/notes-2021-03-13","notes-2021-03-13","「吐槽」2021.3.13","2021-03-12T17:08:00Z"
"20","https://blog.hadream.ltd/index.php/archives/20/","https://lanzhijiang.dev/article/centos-nginx-usage","centos-nginx-usage","「教程」Centos上的nginx使用","2021-03-13T17:40:00Z"
"23","https://blog.hadream.ltd/index.php/archives/23/","https://lanzhijiang.dev/article/notes-2021-03-20","notes-2021-03-20","「吐槽」2021.3.20","2021-03-20T05:16:00Z"
"47","https://blog.hadream.ltd/index.php/archives/47/","https://lanzhijiang.dev/article/notes-2021-03-27","notes-2021-03-27","「吐槽」2021.3.27","2021-03-27T04:56:00Z"
"49","https://blog.hadream.ltd/index.php/archives/49/","https://lanzhijiang.dev/article/notes-2021-04-03","notes-2021-04-03","「吐槽」2021.4.3","2021-04-03T07:35:00Z"
"53","https://blog.hadream.ltd/index.php/archives/53/","https://lanzhijiang.dev/article/ordinary-people-struggle","ordinary-people-struggle","「感想」平凡人的斗争","2021-04-10T16:54:00Z"
"57","https://blog.hadream.ltd/index.php/archives/57/","https://lanzhijiang.dev/article/notes-2021-04-11","notes-2021-04-11","「吐槽」2021.4.11","2021-04-11T04:43:00Z"
"58","https://blog.hadream.ltd/index.php/archives/58/","https://lanzhijiang.dev/article/notes-2021-04-18","notes-2021-04-18","「吐槽」2021.4.18","2021-04-18T07:06:00Z"
"60","https://blog.hadream.ltd/index.php/archives/60/","https://lanzhijiang.dev/article/notes-2021-05-02","notes-2021-05-02","「吐槽」2021.5.2","2021-05-01T09:07:00Z"
"68","https://blog.hadream.ltd/index.php/archives/68/","https://lanzhijiang.dev/article/notes-2021-05-17","notes-2021-05-17","「吐槽」2021.5.17","2021-05-15T17:18:00Z"
"71","https://blog.hadream.ltd/index.php/archives/71/","https://lanzhijiang.dev/article/notes-2021-05-22","notes-2021-05-22","「吐槽」2021.5.22","2021-05-22T11:06:00Z"
"74","https://blog.hadream.ltd/index.php/archives/74/","https://lanzhijiang.dev/article/linux-ddos-defense","linux-ddos-defense","「教程」Linux防御DDoS攻击","2021-05-23T03:18:00Z"
"80","https://blog.hadream.ltd/index.php/archives/80/","https://lanzhijiang.dev/article/notes-2021-05-29","notes-2021-05-29","「吐槽」2021.5.29","2021-05-30T02:29:00Z"
"82","https://blog.hadream.ltd/index.php/archives/82/","https://lanzhijiang.dev/article/notes-2021-06-11","notes-2021-06-11","「吐槽」2021.6.11","2021-06-06T02:34:00Z"
"85","https://blog.hadream.ltd/index.php/archives/85/","https://lanzhijiang.dev/article/centos-resize-partitions","centos-resize-partitions","「教程」Centos修改分区大小","2021-06-20T03:10:00Z"
"88","https://blog.hadream.ltd/index.php/archives/88/","https://lanzhijiang.dev/article/notes-2021-07-11","notes-2021-07-11","「吐槽」2021.7.11","2021-07-11T12:19:00Z"
"92","https://blog.hadream.ltd/index.php/archives/92/","https://lanzhijiang.dev/article/linux-mining-malware-response","linux-mining-malware-response","「总结」Linux遭到挖矿病毒入侵的排查和对策","2021-07-12T14:02:00Z"
"108","https://blog.hadream.ltd/index.php/archives/108/","https://lanzhijiang.dev/article/bilibili-outage","bilibili-outage","「事件」B站崩了","2021-07-17T06:45:00Z"
"109","https://blog.hadream.ltd/index.php/archives/109/","https://lanzhijiang.dev/article/bilibili-ceo-chen-rui-controversy","bilibili-ceo-chen-rui-controversy","「观点」B站CEO陈睿被喷事件","2021-07-20T04:49:00Z"
"110","https://blog.hadream.ltd/index.php/archives/110/","https://lanzhijiang.dev/article/ssh-login-password-error","ssh-login-password-error","「问题解决」SSH无法登录或密码错误","2021-07-26T16:31:00Z"
"113","https://blog.hadream.ltd/index.php/archives/113/","https://lanzhijiang.dev/article/libcareso2-load-error","libcareso2-load-error","「问题解决」libcareso.2无法加载","2021-07-28T12:56:00Z"
"124","https://blog.hadream.ltd/index.php/archives/124/","https://lanzhijiang.dev/article/notes-2021-07-summary","notes-2021-07-summary","「吐槽」2021.7月总","2021-08-01T09:16:00Z"
"130","https://blog.hadream.ltd/index.php/archives/130/","https://lanzhijiang.dev/article/docker-onlyoffice-server","docker-onlyoffice-server","「教程」docker部署OnlyOffice服务器","2021-08-02T06:46:00Z"
"141","https://blog.hadream.ltd/index.php/archives/141/","https://lanzhijiang.dev/article/great-expectations-review","great-expectations-review","「读后感」远大前程","2021-08-21T12:34:00Z"
"144","https://blog.hadream.ltd/index.php/archives/144/","https://lanzhijiang.dev/article/notes-2021-09-04","notes-2021-09-04","「吐槽」2021.9.4","2021-09-04T12:43:00Z"
"148","https://blog.hadream.ltd/index.php/archives/148/","https://lanzhijiang.dev/article/my-view-on-lgbt","my-view-on-lgbt","「观点」关于LGBT，我的看法","2021-09-04T13:35:00Z"
"151","https://blog.hadream.ltd/index.php/archives/151/","https://lanzhijiang.dev/article/thoughts-on-sissy-discourse","thoughts-on-sissy-discourse","「观点」关于娘炮这件事","2021-09-05T01:41:00Z"
"156","https://blog.hadream.ltd/index.php/archives/156/","https://lanzhijiang.dev/article/notes-2021-09-12","notes-2021-09-12","「吐槽」2021.9.12","2021-09-12T02:20:00Z"
"157","https://blog.hadream.ltd/index.php/archives/157/","https://lanzhijiang.dev/article/flutter-dev-environment-setup","flutter-dev-environment-setup","「教程」flutter开发环境搭建","2021-09-21T06:14:00Z"
"160","https://blog.hadream.ltd/index.php/archives/160/","https://lanzhijiang.dev/article/notes-2021-09-21","notes-2021-09-21","「吐槽」2021.9.21","2021-09-21T09:15:00Z"
"161","https://blog.hadream.ltd/index.php/archives/161/","https://lanzhijiang.dev/article/notes-2021-10-06","notes-2021-10-06","「吐槽」2021.10.6","2021-10-06T04:26:00Z"
"172","https://blog.hadream.ltd/index.php/archives/172/","https://lanzhijiang.dev/article/notes-2021-10-24","notes-2021-10-24","「吐槽」2021.10.24","2021-10-24T05:23:00Z"
"173","https://blog.hadream.ltd/index.php/archives/173/","https://lanzhijiang.dev/article/notes-2021-10-30","notes-2021-10-30","「吐槽」2021.10.30","2021-10-30T06:39:00Z"
"183","https://blog.hadream.ltd/index.php/archives/183/","https://lanzhijiang.dev/article/photoshop-2020-channel-cutout","photoshop-2020-channel-cutout","「教程」通道抠图法PS2020","2021-11-07T05:07:00Z"
"188","https://blog.hadream.ltd/index.php/archives/188/","https://lanzhijiang.dev/article/feminization-of-men-public-opinion-report","feminization-of-men-public-opinion-report","「报告」关于男性女性化及其社会舆论的调查报告","2021-12-24T04:51:00Z"
"194","https://blog.hadream.ltd/index.php/archives/194/","https://lanzhijiang.dev/article/chicken-soup-winter-2021","chicken-soup-winter-2021","「梗」鸡汤-2021冬","2021-12-24T06:13:00Z"
"198","https://blog.hadream.ltd/index.php/archives/198/","https://lanzhijiang.dev/article/thoughts-on-apology","thoughts-on-apology","「观点」关于道歉","2021-12-24T06:26:00Z"
"200","https://blog.hadream.ltd/index.php/archives/200/","https://lanzhijiang.dev/article/bilibili-comments-on-lgbt-and-hardware-hoarders","bilibili-comments-on-lgbt-and-hardware-hoarders","「观点」来自B站的一些关于LGBT、垃圾佬的评论","2021-12-24T06:37:00Z"
"202","https://blog.hadream.ltd/index.php/archives/202/","https://lanzhijiang.dev/article/goodbye-2021-hello-2022","goodbye-2021-hello-2022","「回顾」2021再见，你好2022！","2022-01-02T17:52:00Z"
"208","https://blog.hadream.ltd/index.php/archives/208/","https://lanzhijiang.dev/article/nosql-database-design","nosql-database-design","「总结」非关系型数据库的设计","2022-02-02T07:07:00Z"
"209","https://blog.hadream.ltd/index.php/archives/209/","https://lanzhijiang.dev/article/zero-waste-habits","zero-waste-habits","「总结」我们如何打造零浪费生活的习惯","2022-02-02T10:43:39Z"
"211","https://blog.hadream.ltd/index.php/archives/211/","https://lanzhijiang.dev/article/tar-command-summary","tar-command-summary","「总结」tar指令使用方法总结","2022-02-04T12:08:00Z"
"214","https://blog.hadream.ltd/index.php/archives/214/","https://lanzhijiang.dev/article/memories-of-teacher-llm","memories-of-teacher-llm","「回忆」llm老师","2022-04-04T04:17:00Z"
"216","https://blog.hadream.ltd/index.php/archives/216/","https://lanzhijiang.dev/article/exception-handling-notes","exception-handling-notes","「编程技术」关于异常处理","2022-05-10T03:45:00Z"
"217","https://blog.hadream.ltd/index.php/archives/217/","https://lanzhijiang.dev/article/self-hosted-rustdesk-server","self-hosted-rustdesk-server","「教程」搭建Rustdesk服务器实现远程控制Win/Linux/Android/Mac","2022-07-30T09:47:00Z"
"228","https://blog.hadream.ltd/index.php/archives/228/","https://lanzhijiang.dev/article/blue-lock-review","blue-lock-review","「读后感」蓝色监狱BLUELOCK——竞技与改变","2023-02-04T16:15:00Z"
"232","https://blog.hadream.ltd/index.php/archives/232/","https://lanzhijiang.dev/article/flask-production-deployment","flask-production-deployment","「教程」flask生产环境部署","2023-06-22T09:18:00Z"
"234","https://blog.hadream.ltd/index.php/archives/234/","https://lanzhijiang.dev/article/build-and-use-snowboy","build-and-use-snowboy","「教程」snowboy的构建编译使用","2023-06-25T13:23:00Z"
"235","https://blog.hadream.ltd/index.php/archives/235/","https://lanzhijiang.dev/article/flask-self-signed-ssl","flask-self-signed-ssl","「教程」Flask自签证书对SSL支持从而提供https","2023-07-01T14:30:00Z"
